Player,Team,Position,Mean,Standard Deviation,FPPM
Damian Jones,9.0,yellow,6.85714285714,4.67577342724,0.906832394793
Damian Lillard,24.0,red,42.8213333333,11.1023407969,1.19094698819
Damjan Rudez,21.0,green,4.53611111111,5.22609675586,0.479421024878
Daniel Ochefu,29.0,yellow,3.8,4.1184388379,0.894785520023
Danilo Gallinari,7.0,green,29.0238095238,7.63816213086,0.856411409165
Danny Green,26.0,blue,17.4823529412,6.29707207908,0.66192301797
Dante Cunningham,18.0,green,14.8184615385,7.21198855006,0.578711865992
Dante Exum,28.0,red,11.4215384615,6.58726262162,0.620845262116
Dario Saric,22.0,purple,24.3530864198,10.7026408706,0.902430118619
Darrell Arthur,7.0,purple,13.18,7.52286088516,0.813665310115
Darren Collison,25.0,red,23.8955882353,8.7185072292,0.776446579205
Darrun Hilliard,8.0,blue,6.809375,4.76907777485,0.695583283331
David Lee,26.0,purple,17.2512820513,7.92862221846,0.904737475538
David Nwaba,13.0,blue,12.8894736842,7.56159115654,0.605100920858
David West,9.0,yellow,13.0823529412,6.09340091243,1.01655821253
Davis Bertans,26.0,purple,10.6090909091,7.89754468941,0.708335738457
DeAndre Jordan,12.0,yellow,34.1333333333,9.277014606,1.07571697223
DeAndre Liggins,5.02127659574,blue,9.17021276596,6.82373829036,0.67395366336
DeAndre' Bembry,0.0,green,7.31666666667,6.46817585186,0.642356111734
DeMar DeRozan,27.0,blue,39.6851351351,10.3677540458,1.11378267518
DeMarcus Cousins,23.3472222222,yellow,49.6569444444,12.8959778669,1.44583083863
DeMarre Carroll,27.0,green,17.9930555556,8.65539523005,0.687496575266
Dejounte Murray,26.0,red,7.96451612903,7.48458631175,0.742245124542
Delon Wright,27.0,red,14.1041666667,8.11405003503,0.72810000172
Demetrius Jackson,1.0,red,8.55,9.26309883354,0.947869674188
Dennis Schroder,0.0,red,30.7860759494,9.77940974278,0.970639154677
Denzel Valentine,4.0,blue,12.0807692308,8.51172290712,0.639478009186
Deron Williams,5.625,red,21.8734375,11.2147434202,0.807982118724
Derrick Favors,28.0,purple,20.75,9.09501433282,0.878926169349
Derrick Jones,23.0,green,11.662962963,6.2593405986,0.690768089271
Derrick Rose,19.0,red,28.9875,9.13957902542,0.882517962747
Derrick Williams,10.1111111111,purple,11.7688888889,6.38716487622,0.716346122942
Devin Booker,23.0,blue,31.35,11.8010977918,0.886744712842
Devin Harris,6.0,red,13.4953125,6.88661987002,0.782937473193
Dewayne Dedmon,26.0,yellow,16.5214285714,7.90880802058,0.90525613577
Deyonta Davis,14.0,yellow,6.69090909091,5.47895619977,0.814646912607
Diamond Stone,12.0,yellow,3.16,4.68273424401,0.690488663122
Dion Waiters,15.0,blue,27.7413043478,11.8758499314,0.895741210094
Dirk Nowitzki,6.0,purple,26.6685185185,8.80756158991,1.01453670254
Domantas Sabonis,20.0,purple,12.7419753086,6.82947406829,0.625197706703
Donatas Motiejunas,18.0,purple,11.49,7.4211417469,0.696863689109
Dorian Finney-Smith,6.0,purple,11.3891891892,6.83429241094,0.520099607081
Doug McDermott,9.0,green,14.5359375,8.38232800219,0.616285952879
Dragan Bender,23.0,purple,8.40243902439,8.05398931601,0.568842160062
Draymond Green,9.0,purple,35.1421052632,10.2509480948,1.08118982444
Dwight Howard,0.0,yellow,32.8108108108,9.99500652816,1.09787991785
Dwight Powell,6.0,yellow,15.3123287671,8.68865712047,0.871288262723
Dwyane Wade,4.0,blue,31.675,10.4230127562,1.05115064689
