#Date/Time of Update: 2017-03-25 2:29:25 AM,#Game Date,#Game Teams,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtMade,#Fg3PtAtt,#Fg3PtMade,#FtAtt,#FtMade
,2017-03-24,ATL@MIL,9092,Muscala,Mike,C,91,ATL,Atlanta,Hawks,1,0,1,0,0,0
,2017-03-24,MIN@LAL,9286,Nance Jr.,Larry,PF,105,LAL,Los Angeles,Lakers,11,4,0,0,6,5
,2017-03-24,DEN@IND,9195,Nelson,Jameer,PG,99,DEN,Denver,Nuggets,2,1,4,1,2,1
,2017-03-24,NOP@HOU,12198,Nene,Maybyner,C,109,HOU,Houston,Rockets,0,0,0,0,0,0
,2017-03-24,BRO@WAS,9401,Nicholson,Andrew,PF,84,BRO,Brooklyn,Nets,5,3,0,0,0,0
,2017-03-24,MIN@LAL,12199,Nwaba,David,G,105,LAL,Los Angeles,Lakers,5,4,0,0,3,2
,2017-03-24,BRO@WAS,10153,Ochefu,Daniel,F,94,WAS,Washington,Wizards,3,1,0,0,0,0
,2017-03-24,PHI@CHI,9421,Okafor,Jahlil,C,85,PHI,Philadelphia,76ers,0,0,0,0,0,0
,2017-03-24,PHX@BOS,9100,Olynyk,Kelly,C,82,BOS,Boston,Celtics,4,3,3,1,5,4
,2017-03-24,BRO@WAS,9526,Oubre Jr.,Kelly,SF,94,WAS,Washington,Wizards,6,3,3,1,0,0
,2017-03-24,SAC@GSW,9183,Pachulia,Zaza,C,101,GSW,Golden State,Warriors,4,1,0,0,2,2
,2017-03-24,SAC@GSW,10142,Papagiannis,Georgios,C,103,SAC,Sacramento,Kings,5,3,1,0,1,1
,2017-03-24,DET@ORL,9407,Payton,Elfrid,PG,95,ORL,Orlando,Magic,10,4,1,1,5,3
,2017-03-24,DEN@IND,9442,Plumlee,Mason,C,99,DEN,Denver,Nuggets,4,2,0,0,6,5
,2017-03-24,BRO@WAS,9524,Porter Jr.,Otto,SF,94,WAS,Washington,Wizards,1,1,4,1,0,0
,2017-03-24,PHI@CHI,9151,Portis,Bobby,PF,89,CHI,Chicago,Bulls,10,7,1,1,0,0
,2017-03-24,ATL@MIL,10155,Prince,Taurean,F,91,ATL,Atlanta,Hawks,4,2,1,0,1,1
,2017-03-24,MIN@LAL,9282,Randle,Julius,PF,105,LAL,Los Angeles,Lakers,10,6,4,2,6,5
,2017-03-24,MIN@LAL,9122,Robinson,Thomas,F,105,LAL,Los Angeles,Lakers,0,0,0,0,0,0
,2017-03-24,DEN@IND,9257,Robinson III,Glenn,SF,87,IND,Indiana,Pacers,0,0,0,0,0,0
,2017-03-24,PHI@CHI,10114,Rodriguez,Sergio,G,85,PHI,Philadelphia,76ers,5,3,5,2,0,0
,2017-03-24,PHI@CHI,9464,Rondo,Rajon,PG,89,CHI,Chicago,Bulls,5,2,1,0,0,0
,2017-03-24,DET@ORL,9492,Ross,Terrence,SF,95,ORL,Orlando,Magic,3,1,6,5,1,1
,2017-03-24,PHX@BOS,9105,Rozier,Terry,PG,82,BOS,Boston,Celtics,3,3,4,1,0,0
,2017-03-24,MIN@LAL,9338,Rubio,Ricky,PG,100,MIN,Minnesota,Timberwolves,8,4,5,1,8,8
,2017-03-24,DET@ORL,9345,Rudez,Damjan,SF,95,ORL,Orlando,Magic,2,1,1,1,0,0
,2017-03-24,MIN@LAL,9219,Rush,Brandon,SG,100,MIN,Minnesota,Timberwolves,2,1,1,0,0,0
,2017-03-24,MIN@LAL,9285,Russell,D'Angelo,PG,105,LAL,Los Angeles,Lakers,4,1,5,2,8,7
,2017-03-24,PHI@CHI,10115,Saric,Dario,F,85,PHI,Philadelphia,76ers,14,10,5,2,8,6
,2017-03-24,BRO@WAS,10151,Satoransky,Tomas,G,94,WAS,Washington,Wizards,2,0,0,0,0,0
,2017-03-24,ATL@MIL,9084,Schroder,Dennis,PG,91,ATL,Atlanta,Hawks,21,8,4,3,3,3
,2017-03-24,ATL@MIL,9088,Sefolosha,Thabo,SF,91,ATL,Atlanta,Hawks,2,0,1,0,4,3
,2017-03-24,CLE@CHA,9162,Shumpert,Iman,SG,86,CLE,Cleveland,Cavaliers,3,2,5,1,0,0
,2017-03-24,PHX@BOS,9102,Smart,Marcus,PG,82,BOS,Boston,Celtics,4,0,9,1,6,6
,2017-03-24,DET@ORL,9425,Smith,Ish,PG,88,DET,Detroit,Pistons,7,3,0,0,0,0
,2017-03-24,BRO@WAS,9411,Smith,Jason,C,94,WAS,Washington,Wizards,3,1,4,2,0,0
,2017-03-24,CLE@CHA,9167,Smith,J.R.,SG,86,CLE,Cleveland,Cavaliers,0,0,5,3,0,0
,2017-03-24,ATL@MIL,9145,Snell,Tony,SF,90,MIL,Milwaukee,Bucks,3,2,6,3,0,0
,2017-03-24,PHI@CHI,9417,Stauskas,Nik,SG,85,PHI,Philadelphia,76ers,3,1,1,1,2,1
,2017-03-24,DEN@IND,9255,Stuckey,Rodney,PG,87,IND,Indiana,Pacers,2,0,1,0,0,0
,2017-03-24,DEN@IND,9091,Teague,Jeff,PG,87,IND,Indiana,Pacers,11,7,5,2,2,1
,2017-03-24,ATL@MIL,9438,Teletovic,Mirza,PF,90,MIL,Milwaukee,Bucks,1,1,5,1,0,0
,2017-03-24,SAC@GSW,9525,Temple,Garrett,SF,103,SAC,Sacramento,Kings,4,1,1,1,0,0
,2017-03-24,ATL@MIL,9243,Terry,Jason,SG,90,MIL,Milwaukee,Bucks,0,0,4,2,2,2
,2017-03-24,PHX@BOS,9101,Thomas,Isaiah,PG,82,BOS,Boston,Celtics,11,7,9,3,11,11
,2017-03-24,SAC@GSW,9221,Thompson,Klay,SG,101,GSW,Golden State,Warriors,7,1,7,2,0,0
,2017-03-24,CLE@CHA,9169,Thompson,Tristan,PF,86,CLE,Cleveland,Cavaliers,4,3,0,0,2,2
,2017-03-24,SAC@GSW,9208,Tolliver,Anthony,PF,103,SAC,Sacramento,Kings,0,0,0,0,0,0
,2017-03-24,MIN@LAL,9346,Towns,Karl-Anthony,C,100,MIN,Minnesota,Timberwolves,17,11,2,0,3,3
,2017-03-24,DEN@IND,9252,Turner,Myles,C,87,IND,Indiana,Pacers,15,9,1,0,2,2
,2017-03-24,DET@ORL,9541,Udrih,Beno,G,88,DET,Detroit,Pistons,1,0,0,0,0,0
,2017-03-24,PHX@BOS,10145,Ulis,Tyler,G,104,PHX,Phoenix,Suns,4,1,0,0,2,1
,2017-03-24,PHI@CHI,10157,Valentine,Denzel,G,89,CHI,Chicago,Bulls,0,0,8,3,0,0
,2017-03-24,ATL@MIL,9333,Vaughn,Rashad,SG,90,MIL,Milwaukee,Bucks,0,0,0,0,0,0
,2017-03-24,DET@ORL,9412,Vucevic,Nikola,C,95,ORL,Orlando,Magic,13,8,1,0,0,0
,2017-03-24,CLE@CHA,9129,Walker,Kemba,PG,93,CHA,Charlotte,Hornets,10,5,10,5,4,3
,2017-03-24,BRO@WAS,9522,Wall,John,PG,94,WAS,Washington,Wizards,14,9,2,0,4,4
,2017-03-24,DET@ORL,9410,Watson,CJ,PG,95,ORL,Orlando,Magic,1,1,3,0,0,0
,2017-03-24,CLE@CHA,9320,Weber,Briante,PG,93,CHA,Charlotte,Hornets,2,1,2,0,0,0
,2017-03-24,SAC@GSW,9479,West,David,PF,101,GSW,Golden State,Warriors,5,4,0,0,0,0
,2017-03-24,BRO@WAS,9660,Whitehead,Isaiah,G,84,BRO,Brooklyn,Nets,5,4,0,0,2,2
,2017-03-24,MIN@LAL,9342,Wiggins,Andrew,SF,100,MIN,Minnesota,Timberwolves,21,9,7,5,5,3
,2017-03-24,DET@ORL,9266,Wilcox,CJ,SG,95,ORL,Orlando,Magic,3,0,0,0,0,0
,2017-03-24,PHX@BOS,9441,Williams,Alan,PF,104,PHX,Phoenix,Suns,9,3,0,0,6,3
,2017-03-24,CLE@CHA,9184,Williams,Deron,PG,86,CLE,Cleveland,Cavaliers,2,1,0,0,0,0
,2017-03-24,CLE@CHA,9377,Williams,Derrick,SF,86,CLE,Cleveland,Cavaliers,0,0,0,0,0,0
,2017-03-24,NOP@HOU,9287,Williams,Lou,SG,109,HOU,Houston,Rockets,5,2,3,0,2,1
,2017-03-24,CLE@CHA,9134,Williams,Marvin,PF,93,CHA,Charlotte,Hornets,8,3,3,0,5,5
,2017-03-24,DEN@IND,9119,Young,Thaddeus,PF,87,IND,Indiana,Pacers,5,3,0,0,0,0
,2017-03-24,CLE@CHA,9130,Zeller,Cody,C,93,CHA,Charlotte,Hornets,6,6,0,0,7,3
,2017-03-24,PHX@BOS,9099,Zeller,Tyler,C,82,BOS,Boston,Celtics,3,0,0,0,2,0
,2017-03-24,DET@ORL,10163,Zimmerman,Stephen,C,95,ORL,Orlando,Magic,0,0,0,0,2,1
,2017-03-24,PHI@CHI,10158,Zipser,Paul,F,89,CHI,Chicago,Bulls,4,1,1,0,0,0
,2017-03-24,MIN@LAL,10169,Zubac,Ivica,C,105,LAL,Los Angeles,Lakers,7,3,0,0,1,1
